Index,X,Y,Z
509,1079046.51,-4853356.82,3981836.51
510,1079046.53,-4853356.84,3981836.48
511,1079046.56,-4853356.94,3981836.52
512,1079046.61,-4853356.93,3981836.52
513,1079046.65,-4853356.96,3981836.63
514,1079046.67,-4853356.95,3981836.63
515,1079046.68,-4853356.92,3981836.66
516,1079046.68,-4853356.91,3981836.68
517,1079046.69,-4853356.83,3981836.62
518,1079046.70,-4853356.76,3981836.54
519,1079046.74,-4853356.80,3981836.48
520,1079046.79,-4853356.83,3981836.42
521,1079046.81,-4853356.77,3981836.34
522,1079046.84,-4853356.79,3981836.30
523,1079046.86,-4853356.79,3981836.30
524,1079046.85,-4853356.77,3981836.34
525,1079046.81,-4853356.80,3981836.45
526,1079046.78,-4853356.85,3981836.55
527,1079046.77,-4853356.92,3981836.63
528,1079046.77,-4853356.91,3981836.66
529,1079046.78,-4853356.98,3981836.73
530,1079046.81,-4853356.98,3981836.71
531,1079046.82,-4853357.09,3981836.75
532,1079046.80,-4853357.10,3981836.73
533,1079046.77,-4853357.11,3981836.73
534,1079046.77,-4853357.12,3981836.72
535,1079046.81,-4853357.20,3981836.77
536,1079046.82,-4853357.30,3981836.80
537,1079046.83,-4853357.38,3981836.86
538,1079046.81,-4853357.45,3981836.95
539,1079046.76,-4853357.41,3981837.00
540,1079046.76,-4853357.48,3981837.09
541,1079046.72,-4853357.45,3981837.13
542,1079046.66,-4853357.44,3981837.16
543,1079046.65,-4853357.51,3981837.24
544,1079046.60,-4853357.52,3981837.24
545,1079046.57,-4853357.50,3981837.27
546,1079046.56,-4853357.52,3981837.25
547,1079046.56,-4853357.60,3981837.30
548,1079046.58,-4853357.61,3981837.29
549,1079046.58,-4853357.61,3981837.29
550,1079046.59,-4853357.70,3981837.35
551,1079046.56,-4853357.67,3981837.38
552,1079046.56,-4853357.65,3981837.41
553,1079046.55,-4853357.64,3981837.42
554,1079046.52,-4853357.63,3981837.45
555,1079046.50,-4853357.52,3981837.41
556,1079046.48,-4853357.51,3981837.45
557,1079046.47,-4853357.49,3981837.46
558,1079046.47,-4853357.58,3981837.52
559,1079046.49,-4853357.63,3981837.45
560,1079046.55,-4853357.66,3981837.41
561,1079046.61,-4853357.75,3981837.43
562,1079046.61,-4853357.66,3981837.38
563,1079046.63,-4853357.68,3981837.35
564,1079046.67,-4853357.69,3981837.34
565,1079046.73,-4853357.70,3981837.30
566,1079046.78,-4853357.70,3981837.29
567,1079046.79,-4853357.70,3981837.29
568,1079046.80,-4853357.70,3981837.28
569,1079046.78,-4853357.71,3981837.28
